"Informazioni cronologiche","Fumi?","Cosa fumi di solito?","Quanto liquido di sigaretta elettronica utilizzi in media in una settimana?","Quante sigarette fumi in media ogni settimana?","Hai mai provato a fumare nella tua vita?","Fumi abitualmente?","Chi sa che fumi?","In quale momento o situazione fumi (possibili più risposte)","Perché hai iniziato a fumare? (possibili più risposte) 
","Vorresti smettere di fumare?","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tu]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tua madre]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tuo padre]","C'è qualcuno nella tua famiglia che fuma abitualmente?","Nella tua compagnia abituale c'è qualcuno che fuma?","Conosci gli effetti che il fumo provoca sull'organismo?","Ti preoccupano gli effetti che il fumo provoca sull'organismo?","Quante volte alla settimana pratichi sport?","Che genere di musica ascolti abitualmente?","Hai qualche problema respiratorio? (Ad esempio asma, tosse, fiato corto, ecc...)","Qual è il tuo genere?","Che classe frequenti?","Dove vivi?"
"2023/03/06 1:01:16 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre;Madre","Sì, ma solo qualcuno","4","4","6","Pop","No","Femmina","1^","In città"
"2023/03/06 1:01:22 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","3","Trap;Reggaeton;Hip hop","No","Femmina","2^","In provincia"
"2023/03/06 1:01:24 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","No, solo saltuariamente","Tutti i miei amici/compagni","Quando esco con gli amici","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","3","Trap;Hip hop","No","Femmina","5^","In provincia"
"2023/03/06 1:01:27 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","No, nessuno","5","1","2","Classica;","No","Femmina","2^","In città"
"2023/03/06 1:01:37 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","2","Pop;Hip hop","No","Maschio","5^","In città"
"2023/03/06 1:01:46 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","Tutti i giorni della settimana","Trap","No","Maschio","2^","In provincia"
"2023/03/06 1:01:48 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","4","3","Trap;Rock","No","Femmina","1^","In provincia"
"2023/03/06 1:01:51 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","3","2","Pop;Classica","No","Maschio","2^","In provincia"
"2023/03/06 1:01:54 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Madre","No, nessuno","4","4","4","Niente","No","Maschio","3^","In provincia"
"2023/03/06 1:01:59 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","2","Rock;Pop;Classica","No","Maschio","1^","In città"
"2023/03/06 1:02:15 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","1","Rock;Pop;Hip hop","No","Femmina","2^","In città"
"2023/03/06 1:02:19 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","No, nessuno","4","4","2","Trap","No","Maschio","1^","In provincia"
"2023/03/06 1:02:22 PM EET","Sì","Sigarette elettroniche","Meno di 5 ml","","","No, solo saltuariamente","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a","Per curiosità","Sì e penso che lo farò a breve","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","4","5","2","Rock;Pop;Classica","No","Femmina","3^","In città"
"2023/03/06 1:02:31 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","3","2","3","Ascolto raramente","No","Maschio","2^","In città"
"2023/03/06 1:02:45 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Trap;Reggaeton;Hip hop","Sì","Maschio","3^","In provincia"
"2023/03/06 1:02:45 PM EET","Sì","Sigarette elettroniche","Tra i 5 e i 10 ml","","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i miei genitori","Quando esco con gli amici","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Madre;Fratelli/sorelle","Sì, tutti o quasi","5","3","4","Classica;Tekno ","No","Preferisco non rispondere","3^","In provincia"
"2023/03/06 1:02:55 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre;Madre","Sì, ma solo qualcuno","5","5","5","Pop;Hip hop","No","Maschio","1^","In provincia"
"2023/03/06 1:02:56 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Italia","Nessuno","Sì, ma solo qualcuno","5","5","Non pratico sport","Indie;Kpop","No","Femmina","2^","In provincia"
"2023/03/06 1:03:01 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","4","Indie;Pop","No","Femmina","3^","In città"
"2023/03/06 1:03:04 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","5","4","Trap;Rock;Pop;Hip hop;Classica","No","Maschio","2^","In provincia"
"2023/03/06 1:03:12 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","1","3","Trap;Reggaeton","No","Maschio","2^","In città"
"2023/03/06 1:03:30 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","Tutti i giorni della settimana","Inno carabinieri ","Sì","Maschio","3^","In città"
"2023/03/06 1:03:32 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","1","1","Rock;Pop;Classica","No","Femmina","5^","In provincia"
"2023/03/06 1:03:35 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","3","5","5","Niente","No","Preferisco non rispondere","2^","In città"
"2023/03/06 1:03:40 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Indie;Hip hop;Classica","No","Femmina","1^","In provincia"
"2023/03/06 1:03:46 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","3","Rock","Sì","Maschio","1^","In provincia"
"2023/03/06 1:03:51 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","4","Tutti i giorni della settimana","Pop","No","Femmina","1^","In provincia"
"2023/03/06 1:03:55 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 20 e le 30 sigarette circa","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;andando o tornando da scuola","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","3","3","Non pratico sport","Trap;Indie;Pop;Hip hop","No","Preferisco non rispondere","4^","In provincia"
"2023/03/06 1:04:24 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;quando mi sento annoiato/a","Per stress","Sì e penso che lo farò a breve","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","4","4","Trap;Pop;Hip hop","No","Maschio","4^","In città"
"2023/03/06 1:04:31 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Nessuno o 1-2 amici","Quando esco con gli amici","Per curiosità","No, per ora voglio continuare","Italia","Italia","Italia","Nessuno;Padre;Madre;Fratelli/sorelle","Sì, tutti o quasi","4","2","3","Trap;Reggaeton;Rock;Indie;Pop;Hip hop;Classica","Sì;No","Preferisco non rispondere","3^","In provincia"
"2023/03/06 1:04:37 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Estero","Padre","Sì, ma solo qualcuno","5","3","3","Pop;Hip hop","No","Femmina","2^","In provincia"
"2023/03/06 1:04:37 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","3","2","Pop","Sì","Femmina","5^","In provincia"
"2023/03/06 1:04:46 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 20 e le 30 sigarette circa","","Sì, regolarmente ogni giorno","Anche i professori o altri adulti","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;andando o tornando da scuola","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Fratelli/sorelle","Sì, ma solo qualcuno","5","4","5","Trap;Reggaeton;Hip hop","No","Femmina","5^","In provincia"
"2023/03/06 1:04:54 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","2","Indie;Pop;Hip hop;Classica","No","Femmina","5^","In città"
"2023/03/06 1:04:55 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 10 e le 20 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i professori o altri adulti","Quando esco con gli amici;Quando sono teso/a","Per stress","Sì e penso che lo farò a breve","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","4","Trap;Pop;Hip hop","No","Femmina","3^","In città"
"2023/03/06 1:05:04 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Italia","Nessuno","No, nessuno","5","4","4","Trap;Hip hop","No","Femmina","1^","In città"
"2023/03/06 1:05:06 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","4","Non pratico sport","Rock;Indie;Pop;Hip hop","No","Maschio","3^","In provincia"
"2023/03/06 1:05:10 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","6","Trap;Hip hop;Urban","No","Maschio","2^","In città"
"2023/03/06 1:05:22 PM EET","Sì","Sigarette normali","","Tra le 50 e le 70 sigarette circa","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a;andando o tornando da scuola","Per stress","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","4","4","3","Trap;Pop","No","Maschio","5^","In città"
"2023/03/06 1:05:58 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Estero","Padre","Sì, ma solo qualcuno","3","3","3","Trap;Pop","No","Maschio","4^","In provincia"
"2023/03/06 1:05:59 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","1","4","Pop;Hip hop;Classica","No","Maschio","2^","In provincia"
"2023/03/06 1:06:09 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Fratelli/sorelle","Sì, ma solo qualcuno","2","5","2","5","No","Femmina","4^","In città"
"2023/03/06 1:06:21 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Estero","Italia","Padre;Madre","Sì, ma solo qualcuno","5","4","3","Trap;Pop;Hip hop;Trucio baldazzi ","No","Preferisco non rispondere","5^","In provincia"
"2023/03/06 1:06:25 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","No, nessuno","4","5","Non pratico sport","Classica","No","Maschio","1^","In città"
"2023/03/06 1:06:56 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","1","1","Pop;","Sì","Femmina","3^","In provincia"
"2023/03/06 1:06:58 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Estero","Estero","Estero","Nessuno","Sì, ma solo qualcuno","5","4","4","Reggaeton;Indie;Hip hop;R & B","No","Maschio","4^","In città"
"2023/03/06 1:07:00 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Fratelli/sorelle","No, nessuno","4","1","4","Trap","No","Maschio","1^","In provincia"
"2023/03/06 1:07:03 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Madre","No, nessuno","4","4","2","Indie;Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 1:07:08 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Estero","Nessuno","No, nessuno","4","5","3","Rock;Flamenco, musica latina, chitarra","No","Maschio","1^","In città"
"2023/03/06 1:07:08 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Padre;Madre","No, nessuno","5","5","1","Trap;Pop;Hip hop;Classica","No","Maschio","4^","In città"
"2023/03/06 1:07:56 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Pop","No","Maschio","1^","In città"
"2023/03/06 1:07:57 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","4","Trap;Pop;Hip hop","Sì","Maschio","3^","In città"
"2023/03/06 1:08:01 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","2","Rock;Vari sottogeneri metal e folk","Sì","Maschio","5^","In città"
"2023/03/06 1:08:29 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","5","4","Trap;Reggaeton;Rock;Indie;Pop;Hip hop","No","Femmina","4^","In città"
"2023/03/06 1:08:29 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","6","No ho generi particolare . Ascolto quel che capita","No","Maschio","2^","In città"
"2023/03/06 1:08:34 PM EET","Sì","Sigarette elettroniche","Meno di 5 ml","","","No, solo saltuariamente","Tutti i miei amici/compagni","Quando esco con gli amici","Perchè fumavano i miei amici","No, per ora voglio continuare","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","2","Pop","No","Femmina","3^","In provincia"
"2023/03/06 1:08:36 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","Non pratico sport","Rock;punk, ska","Sì","Femmina","3^","In provincia"
"2023/03/06 1:08:59 PM EET","No","","","","No, mai fumato","","","","","","Estero","Estero","Italia","Nessuno","Sì, ma solo qualcuno","4","5","5","Hip hop;Afro beat","No","Maschio","4^","In città"
"2023/03/06 1:09:04 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","No, nessuno","5","3","Tutti i giorni della settimana","Trap","No","Maschio","1^","In provincia"
"2023/03/06 1:09:10 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Trap","No","Femmina","1^","In provincia"
"2023/03/06 1:09:17 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","3","5","3","Trap;Rock;Indie;Pop;Hip hop;Classica;rap","No","Maschio","2^","In città"
"2023/03/06 1:09:23 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","3","Trap;Rock;Pop","No","Maschio","2^","In provincia"
"2023/03/06 1:09:38 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Tra le 50 e le 70 sigarette circa","","Sì, regolarmente ogni giorno","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a","Per stress","Sì, ma non so come fare","Italia","Italia","Italia","Fratelli/sorelle","Sì, tutti o quasi","4","3","2","Trap;Pop","No","Maschio","5^","In città"
"2023/03/06 1:10:38 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","2","Pop;Classica","Sì","Femmina","5^","In città"
"2023/03/06 1:10:40 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","3","Harry Styles","No","Femmina","2^","In provincia"
"2023/03/06 1:10:48 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","3","Harry Styles","No","Femmina","2^","In provincia"
"2023/03/06 1:11:16 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","Non pratico sport","Classica","No","Maschio","5^","In provincia"
"2023/03/06 1:11:57 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","3","Trap;Pop","No","Femmina","3^","In città"
"2023/03/06 1:12:18 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","3","3","Trap;Reggaeton;Pop","No","Femmina","1^","In città"
"2023/03/06 1:12:24 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","2","Rock;Pop;Hip hop","Sì","Femmina","3^","In città"
"2023/03/06 1:12:26 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","1","Rock","No","Femmina","3^","In città"
"2023/03/06 1:13:06 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","1","5","Rock","Sì","Femmina","5^","In provincia"
"2023/03/06 1:13:11 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, tutti o quasi","3","2","Non pratico sport","Rock;Classica","No","Femmina","5^","In provincia"
"2023/03/06 1:13:26 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","Tutti i giorni della settimana","Trap;Reggaeton;Pop","No","Maschio","5^","In città"
"2023/03/06 1:13:29 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","5","4","Indie;Pop","No","Femmina","5^","In città"
"2023/03/06 1:13:39 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","1","Trap;Reggaeton;Indie;Pop;Classica","No","Femmina","5^","In città"
"2023/03/06 1:13:46 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","4","Trap","No","Maschio","1^","In città"
"2023/03/06 1:14:48 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","No, nessuno","5","4","3","Reggaeton;Pop;","No","Femmina","2^","In provincia"
"2023/03/06 1:15:35 PM EET","Sì","Sigarette elettroniche","Tra i 10 e i 15 ml","","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i miei genitori","Quando esco con gli amici;andando o tornando da scuola","Per imparare a fare i trick col fumo ","No, per ora voglio continuare","Italia","Italia","Italia","Madre","Sì, tutti o quasi","5","1","3","Trap;Reggaeton","No","Maschio","3^","In città"
"2023/03/06 1:15:42 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Pop;Hip hop","No","Maschio","3^","In città"
"2023/03/06 1:15:49 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","6","Trap;Indie;Hip hop","No","Maschio","5^","In città"
"2023/03/06 1:16:35 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","1","5","Pop","No","Maschio","2^","In provincia"
"2023/03/06 1:17:13 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","4","3","Rock;Indie;Hip hop","No","Femmina","1^","In città"
"2023/03/06 1:17:17 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","3","Rock;Indie;Hip hop;Classica;jazz, aesthetic hip hop, synth wave, vaporwave ","No","Maschio","2^","In provincia"
"2023/03/06 1:17:43 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i professori o altri adulti","Quando esco con gli amici;andando o tornando da scuola","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","5","4","Trap;Reggaeton;Indie;Pop","No","Femmina","3^","In provincia"
"2023/03/06 1:17:48 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","Non pratico sport","Indie;Pop;Hip hop;Classica","No","Femmina","5^","In città"
"2023/03/06 1:19:12 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","2","3","4","Trap","No","Maschio","2^","In provincia"
"2023/03/06 1:19:30 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","1","Rock;Pop;Classica","No","Femmina","5^","In città"
"2023/03/06 1:21:40 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Madre","Sì, tutti o quasi","4","5","Tutti i giorni della settimana","Pop;Hip hop","No","Maschio","5^","In città"
"2023/03/06 1:21:57 PM EET","Sì","Sigarette normali","","Tra le 50 e le 70 sigarette circa","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;andando o tornando da scuola","Per curiosità","Sì, ma non so come fare","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","4","Non pratico sport","Hip hop","No","Maschio","5^","In provincia"
"2023/03/06 1:22:27 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","No, nessuno","4","5","2","Reggaeton;Pop","Sì","Femmina","4^","In città"
"2023/03/06 1:23:08 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","3","Pop","Sì","Femmina","4^","In città"
"2023/03/06 1:23:57 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","4","6","Rock;Pop","No","Femmina","1^","In città"
"2023/03/06 1:24:08 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 50 e le 70 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a","Per stress","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","3","2","Trap;Reggaeton;Rock;Indie;Pop;Classica","No","Femmina","3^","In provincia"
"2023/03/06 1:24:19 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","3","Trap;Pop","Sì","Maschio","4^","In città"
"2023/03/06 1:26:12 PM EET","No","","","","No, mai fumato","","","","","","Estero","Estero","Estero","Nessuno","No, nessuno","4","3","3","Pop","No","Femmina","1^","In provincia"
"2023/03/06 1:26:59 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","5","4","Rock;Pop","No","Maschio","1^","In provincia"
"2023/03/06 1:29:48 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia;Estero","Italia","Nessuno","Sì, tutti o quasi","5","5","3","Hip hop","No","Maschio","3^","In provincia"
"2023/03/06 1:30:36 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","3","1","Rock;Indie;Pop","No","Maschio","5^","In provincia"
"2023/03/06 1:31:20 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Padre;Madre","Sì, tutti o quasi","4","3","5","Trap;Rock;Pop","No","Maschio","5^","In città"
"2023/03/06 1:33:51 PM EET","Sì","Sigarette normali","","Tra le 10 e le 20 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;andando o tornando da scuola","Per curiosità","Sì e penso che lo farò a breve","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","3","3","Trap;Pop","No","Maschio","4^","In città"
"2023/03/06 1:34:18 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","6","Trap","No","Maschio","1^","In città"
"2023/03/06 1:34:18 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","5","4","Trap","No","Maschio","1^","In città"
"2023/03/06 1:36:49 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre;Fratelli/sorelle","Sì, ma solo qualcuno","4","4","4","Trap;Drill","No","Maschio","5^","In città"
"2023/03/06 1:37:37 PM EET","Sì","Sigarette elettroniche","Tra i 5 e i 10 ml","","","Sì, regolarmente ogni giorno","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","4","2","Trap;Rock;Pop;Hip hop;Classica","Sì","Maschio","5^","In città"
"2023/03/06 1:37:59 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","4","5","6","R&B","No","Femmina","1^","In città"
"2023/03/06 1:38:08 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Tra le 50 e le 70 sigarette circa","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;appena sveglio;andando o tornando da scuola","Perché mi piaceva l’odore ","No, per ora voglio continuare","Italia","Italia","Italia","Padre","Sì, tutti o quasi","4","2","4","Trap;Reggaeton;Rock;Hip hop;Elettronica, tekno ","No","Maschio","5^","In provincia"
"2023/03/06 1:38:26 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","3","4","Trap;Pop","No","Maschio","5^","In città"
"2023/03/06 1:39:29 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","1","Rock;Indie;Pop","No","Femmina","2^","In provincia"
"2023/03/06 1:40:11 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Madre;Fratelli/sorelle","Sì, ma solo qualcuno","4","5","4","Trap;Reggaeton;Pop","No","Femmina","1^","In città"
"2023/03/06 1:43:09 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","Non pratico sport","Rock;Indie;Classica;","No","Femmina","1^","In provincia"
"2023/03/06 1:44:24 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","4","4","Tutti i giorni della settimana","Trap;Reggaeton","No","Maschio","2^","In provincia"
